Group,Sample
Group_4,M23989MO1_S77
Group_1,M23989MO6_S209
Group_4,M23993MO1_S78
Group_1,M23995MILK_S316
Group_4,M23995MO1_S79
Group_1,M23995MO6_S234
Group_4,M24017MILK_S317
Group_3,M24017MO1_S80
Group_4,M24057MILK_S318
Group_4,M24057MO1_S81
Group_1,M24060MO1_S82
Group_1,M24060MO6_S210
Group_4,M24087MILK_S319
Group_4,M24087MO1_S83
Group_1,M24087MO6_S211
Group_4,M24123MO1_S84
Group_2,M24123MO6_S235
Group_4,M24163MO1_S85
Group_1,M24163MO6_S212
Group_4,M24181MO6_S213
Group_1,M24237MILK_S320
Group_4,M24237MO1_S86
Group_4,M24237MO6_S236
Group_1,M24239MILK_S321
Group_2,M24239MO1_S87
Group_1,M24239MO6_S214
Group_4,M24250MILK_S322
Group_4,M24250MO1_S90
Group_4,M24250MO6_S215
Group_2,M24262MO1_S91
Group_2,M24262MO6_S216
Group_4,M24326MILK_S323
Group_4,M24326MO1_S92
Group_1,M24326MO6_S217
Group_4,M24358MO1_S93
Group_1,M24358MO6_S237
Group_4,M24377MO1_S94
Group_4,M24377MO6_S333
Group_4,M24378MILK_S324
Group_4,M24378MO1_S95
Group_4,M24382MILK_S325
Group_1,M24382MO1_S96
Group_4,M24382MO6_S334
Group_1,M24396MILK_S374
Group_1,M24396MO1_S97
Group_1,M24396MO6_S218
Group_1,M24405MILK_S370
Group_4,M24405MO1_S98
Group_4,M24405MO6_S335
Group_4,M2440MO1_S99
Group_4,M24416MILK_S326
Group_4,M24416MO1_S100
Group_4,M24416MO6_S238
Group_4,M24429MO1_S101
Group_4,M24429MO6_S336
Group_4,M24430MILK_S327
Group_1,M24430MO1_S102
Group_1,M24430MO6_S219
Group_4,M24440MILK_S328
Group_4,M24440MO6_S381
Group_4,M24466MILK_S329
Group_4,M24466MO1_S103
Group_4,M24466MO6_S382
Group_4,M24482MO1_S104
Group_1,M24482MO6_S337
Group_4,M24483MO1_S105
Group_4,M24492MILK_S373
Group_4,M24492MO1_S106
Group_2,M24492MO6_S340
Group_4,M24527MO1_S107
Group_2,M24527MO6_S341
Group_2,M24539MO1_S108
Group_2,M24539MO6_S342
Group_4,M24542MO1_S109
Group_4,M24542MO6_S343
Group_4,M24572MILK_S330
Group_4,M24572MO1_S110
Group_1,M24572MO6_S344
Group_4,M24575MILK_S331
Group_4,M24575MO1_S111
Group_2,M24575MO6_S345
Group_4,M24590MO1_S112
Group_4,M24590MO6_S383
Group_2,M24607MILK_S332
Group_2,M24607MO1_S113
